target_id	length	eff_length	est_counts	tpm
AT1G01010.1	1688	1454.73	6531	140.023
AT1G01040.1	6276	5791.73	903.049	4.86299
TCONS_00000004	6419	5882.24	330.967	1.75486
AT1G01040.2	5984	5462.91	983.708	5.6162
at1g01046	208	59.3206	1.27667	0.671235
AT1G01110.2	2113	2102.74	204.541	3.03387
TCONS_00000009	2045	2056.89	176.282	2.673
AT1G01110.1	2092	2071.38	0	0
TCONS_00000011	1269	1160.03	428.176	11.5121
TCONS_00000012	1475	1391.43	245.081	5.49349
AT1G01160.1	1045	967.337	595.919	19.2137
AT1G01180.1	1456	1387.16	13	0.292292
AT1G01210.3	806	717.491	89.6873	3.89866
AT1G01210.1	624	412.998	179	13.5178
AT1G01220.4	3615	3410.38	0.0965767	0.000883222
AT1G01220.1	3596	3396.85	4.03251	0.0370253
AT1G01220.6	3629	3422.16	521.915	4.75664
AT1G01220.5	3648	3435.69	157.5	1.42977
AT1G01220.7	3405	3267.55	475.364	4.53737
AT1G01220.8	3554	3306.2	32.0924	0.302743
AT1G01225.1	1077	982.978	41	1.30089
AT1G01230.1	876	734.523	1106	46.9624
AT1G01240.4	1608	1251.25	45.1481	1.12537
AT1G01240.3	2122	1665.99	201.732	3.77661
AT1G01240.2	1686	1303.75	0	0
AT1G01240.1	1497	1157.41	595.12	16.0369
AT1G01260.3	2679	2276.95	261.055	3.57585
AT1G01260.1	2709	2298.6	731.945	9.93154
AT1G01260.2	2542	2152.26	5.76468e-07	8.35376e-09
AT1G01290.2	1400	1049.04	398.793	11.8565
AT1G01290.1	2021	1528.7	170.207	3.4726
AT1G01300.1	2062	2510.54	2006	24.921
AT1G01305.1	617	326.884	4	0.381651
AT1G01310.1	977	866.413	22848	822.477
AT1G01350.1	1434	1049.51	967.927	28.7644
AT1G01355.2	792	765.835	13.1851	0.536968
AT1G01355.3	787	724.65	21.8149	0.938914
AT1G01360.1	1179	911.38	1193	40.8264
AT1G01370.2	1463	1261.66	32.2986	0.798437
AT1G01370.1	1376	1155.9	19.3474	0.52204
AT1G01370.3	1085	956.672	5.35399	0.174548
AT1G01370.4	1346	1115.49	0	0
AT1G01448.2	2274	2659.36	41.9815	0.492358
AT1G01448.1	2386	2805.2	16.7838	0.186607
AT1G01448.3	2036	2316.42	7.28464	0.0980824
TCONS_00000062	2385	2767.73	193.95	2.18558
AT1G01460.1	2169	1871.02	8584.37	143.097
