1	5128378	5129731	TCONS_00010383	-	1	5157335	5158269	AT1G14950.1	-	-27605
1	18810928	18812152	TCONS_00004904	+	1	18781858	18784385	AT1G50700.2	+	-26544
1	18810928	18812152	TCONS_00004904	+	1	18781763	18784582	AT1G50700.1	+	-26347
1	5128378	5129731	TCONS_00010383	-	1	5154543	5155564	AT1G14940.2	-	-24813
1	5128378	5129731	TCONS_00010383	-	1	5154536	5155563	AT1G14940.1	-	-24806
1	19374882	19376299	TCONS_00013404	-	1	19400618	19402363	AT1G52130.2	-	-24320
1	19374882	19376299	TCONS_00013404	-	1	19400509	19402789	AT1G52130.1	-	-24211
1	18810928	18812152	TCONS_00004904	+	1	18784508	18787802	AT1G50710.1	-	-23127
1	5128378	5129731	TCONS_00010383	-	1	5152262	5153104	AT1G14930.1	-	-22532
1	18810928	18812152	TCONS_00004904	+	1	18789126	18789687	AT1G50720.1	-	-21242
1	19374882	19376299	TCONS_00013404	-	1	19396080	19397975	AT1G52120.2	-	-19782
1	19374882	19376299	TCONS_00013404	-	1	19396080	19398244	AT1G52120.1	-	-19782
1	7675501	7678030	TCONS_00002624	+	1	7654087	7655981	AT1G21790.1	+	-19521
1	5128378	5129731	TCONS_00010383	-	1	5148981	5151415	AT1G14920.1	+	-19251
1	29293544	29296137	TCONS_00008030	+	1	29272073	29275419	AT1G77850.1	+	-18126
1	29293544	29296137	TCONS_00008030	+	1	29272204	29275507	AT1G77850.2	+	-18038
1	11469481	11470010	AT1G31935.1	+	1	11450336	11452068	AT1G31885.1	+	-17414
1	11469481	11470010	AT1G31935.1	+	1	11450336	11452068	AT1G31885.3	+	-17414
1	7675501	7678030	TCONS_00002624	+	1	7656318	7659167	AT1G21810.1	-	-16335
1	7675501	7678030	TCONS_00002624	+	1	7656318	7659167	AT1G21810.2	-	-16335
1	7675501	7678030	TCONS_00002624	+	1	7656318	7659167	AT1G21810.3	-	-16335
1	29293544	29296137	TCONS_00008030	+	1	29277082	29278631	AT1G77855.1	-	-14914
1	7675501	7678030	TCONS_00002624	+	1	7660946	7662725	AT1G21830.1	-	-12777
1	20625062	20625758	TCONS_00005491	+	1	20607029	20612410	AT1G55250.3	+	-12653
1	20625062	20625758	TCONS_00005491	+	1	20609674	20612410	AT1G55250.4	+	-12653
